alcaldia,colonia,direccion,nivel,cct,escuela,aefcm,sectei,sobse
GUSTAVO A. MADERO,EL ARBOLILLO II,"CALLE CHALMITA TENAYUCA S/N, UNIDAD HABITACIONAL EL ARBOLILLO II, ALCALDÍA GUSTAVO A. MADERO, C.P. 07240, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1270Y,JARDÍN DE NIÑOS LUIS GONZÁLEZ OBREGON,x,,
GUSTAVO A. MADERO,LUIS DONALDO COLOSIO MURRIETA,"CALLE ARROYO ARMELLA S/N, COLONIA LUIS DONALDO COLOSIO MURRIETA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07050, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1365L,JARDÍN DE NIÑOS DEMETRIO SODI PALLARES,x,,
TLALPAN,SAN MIGUEL XICALCO,"CALLE EMILIANO ZAPATA NO. 69, COLONIA SAN MIGUEL XICALCO, ALCALDÍA TLALPAN, C.P. 14490, CIUDAD DE MÉXICO.",ESPECIAL,09DML0024G,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 69,x,,
MIGUEL HIDALGO,DANIEL GARZA,"CALLE GENERAL JOSE MORAN NO. 36, AMPLIACION DANIEL GARZA, ALCALDÍA MIGUEL HIDALGO, C.P. 11840, CIUDAD DE MÉXICO.",ESPECIAL,09DML0035M,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 34,x,,
CUAUHTÉMOC,UH NONOALCO TLATELOLCO,"CALLE RICARDO FLORES MAGON NO. 276, UNIDAD HABITACIONAL UH NONOALCO TLATELOLCO , ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",ESPECIAL,09DML0068D,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 33,x,,
COYOACÁN,(SANTA CATARINA) VIVEROS DE COYOACAN,"CALLE CALLEJON TORRESCO No 7 , BARRIO (SANTA CATARINA) VIVEROS DE COYOACAN, ALCALDÍA COYOACÁN, C.P. 04010, CIUDAD DE MÉXICO.",ESPECIAL,09DML0087S,CENTRO DE ATENCIÓN MÚLTIPLE No. 92,x,,
IZTAPALAPA,JUAN ESCUTIA,"CALLE QUINTA DE JUAN ENRIQUEZ NO. 33, COLONIA JUAN ESCUTIA, ALCALDÍA IZTAPALAPA, C.P. 09100, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1010B,ESCUELA PRIMARIA VOCEADORES DE MÉXICO,x,,
VENUSTIANO CARRANZA,JARDIN BALBUENA,"CALLE RT 32 DE GENEARO GARCIA S/N, COLONIA JARDIN BALBUENA, ALCALDÍA VENUSTIANO CARRANZA, C.P. 15900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1034L,ESCUELA PRIMARIA REPÚBLICA DE LIBERIA,x,,
CUAUHTÉMOC,NONOALCO TLATELOLCO,"CALLE MANUEL GONZALEZ NO. 396, UNIDAD HABITACIONAL NONOALCO TLATELOLCO, ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1134K,ESCUELA PRIMARIA I.S.S.S.T.E.,x,,
GUSTAVO A. MADERO,SAN JUAN DE ARAGON,"CALLE 483 Y PLAZA 31 NO. 200, UNIDAD HABITACIONAL SAN JUAN DE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07920, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1379E,ESCUELA PRIMARIA LUIS MARTÍNEZ  MURILLO,x,,
