numero,codigo,alcaldia,colonia,direccion,nivel,cct,escuela
161,IP467,IZTAPALAPA,SAN LORENZO XICOTENCATL,"CALLE  IGNACIO ZARAGOZA NO.  2300, COLONIA SAN LORENZO XICOTENCATL, ALCALDÍA IZTAPALAPA, C.P. 09130, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2805P,ESCUELA PRIMARIA ISIDRO FABELA
162,IP122,IZTAPALAPA,SANTA CRUZ MEYEHUALCO,"CALLE  31, 6 Y 29  S/N, COLONIA SANTA CRUZ MEYEHUALCO, ALCALDÍA IZTAPALAPA, C.P. 09290, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0053E,ESCUELA SECUNDARIA TÉCNICA  NO.  53
163,CT130,CUAUHTÉMOC,CENTRO,"CALLE  DEL HORMIGUERO  NO.  5, COLONIA CENTRO, ALCALDÍA CUAUHTÉMOC, C.P. 06090, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0711X,JARDÍN DE NIÑOS  JUAN JACOBO ROUSSEAU
164,XC075,XOCHIMILCO,SANTA MARIA TEPEPAN,"CALLE CAMINO REAL AL AJUSCO (RICARTE)  S/N, COLONIA SANTA MARIA TEPEPAN, ALCALDÍA XOCHIMILCO, C.P. 16020, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0161U,ESCUELA SECUNDARIA TOMÁS ALVA EDISON
165,XC055,XOCHIMILCO,SAN LORENZO LA CEBADA,"CALLE MUYUGUARDA  S/N, COLONIA SAN LORENZO LA CEBADA, ALCALDÍA XOCHIMILCO, C.P. 16035, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5121H,ESCUELA PRIMARIA OCTAVIO PAZ
166,XC098,XOCHIMILCO,TEPEPAN,"CALLE DE LAS TORRES  S/N, AMPLIACION TEPEPAN, ALCALDÍA XOCHIMILCO, C.P. 16030, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2787Q,ESCUELA PRIMARIA MARIANO GALVAN RIVERA
167,GM189,GUSTAVO A. MADERO,SAN PEDRO ZACATENCO,"CALLE CIENFUEGOS NO.  1071, COLONIA SAN PEDRO ZACATENCO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07360, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0371P,JARDÍN DE NIÑOS  NONANTZIN
168,IC089,IZTACALCO,CUCHILLA AGRICOLA ORIENTAL,"CALLE RIO CHURUBUSCO Y SUR 8  S/N, COLONIA CUCHILLA AGRICOLA ORIENTAL, ALCALDÍA IZTACALCO, C.P. 08420, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1241C,JARDÍN DE NIÑOS  MARIA LAVALLE URBINA
169,MH119,MIGUEL HIDALGO,PERIODISTA,"CALLE MIGUEL LANZ DURET NO.  24, COLONIA PERIODISTA, ALCALDÍA MIGUEL HIDALGO, C.P. 11220, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0275M,JARDÍN DE NIÑOS  PLUTARCO ELIAS CALLES
170,TH039,TLÁHUAC,DEL MAR,"CALLE GITANA ENTRE LAGO CUITZEO Y TURBA  S/N, COLONIA DEL MAR, ALCALDÍA TLÁHUAC, C.P. 13270, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1056G,JARDÍN DE NIÑOS  LIC. JESUS REYES HEROLES
171,AZ161,AZCAPOTZALCO,OBRERA POPULAR,"CALLE  BIOLOGO MAXIMINO MARTINEZ Y NORTE 57  S/N, COLONIA OBRERA POPULAR, ALCALDÍA AZCAPOTZALCO, C.P. 02840, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0124Q,ESCUELA SECUNDARIA MÉXICO
172,BJ040,BENITO JUÁREZ,DEL VALLE,"CALLE ADOLFO PRIETO  NO.  1128, COLONIA DEL VALLE, ALCALDÍA BENITO JUÁREZ, C.P. 03100, CIUDAD DE MÉXICO.",PRIMARIA,09DIX0001O,"ESCUELA PRIMARIA GERTRUDIS BOCANEGRA DE LAZO DE LA VEGA ""INTERNADO 1"""
173,CY050,COYOACÁN,EL CARMEN,"CALLE VIENA  NO.  121, COLONIA EL CARMEN, ALCALDÍA COYOACÁN, C.P. 04100, CIUDAD DE MÉXICO.",ESPECIAL,09DML0034N,INSTITUTO NACIONAL PARA LA REHABILITACIÓN DE NIÑOS CIEGOS Y DÉBILES VISUALES
174,IP379,IZTAPALAPA,SANTA CRUZ MEYEHUALCO,"CALLE 31 NO.  25, UNIDAD HABITACIONAL SANTA CRUZ MEYEHUALCO, ALCALDÍA IZTAPALAPA, C.P. 09290, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2904P,ESCUELA PRIMARIA REPÚBLICA POPULAR DE POLONIA
175,IP115,IZTAPALAPA,SOLIDARIDAD SANTA MARTHA,"CALLE OYAMELES Y FRANCISCO CESAR MORALES   S/N, UNIDAD HABITACIONAL SOLIDARIDAD SANTA MARTHA, ALCALDÍA IZTAPALAPA, C.P. 09510, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0111E,ESCUELA SECUNDARIA TÉCNICA  NO.  111
176,TH065,TLÁHUAC,SANTA CATARINA YECAHUIZOTL,"CALLE ALDAMA Y CONCEPCION  S/N, COLONIA SANTA CATARINA YECAHUIZOTL, ALCALDÍA TLÁHUAC, C.P. 13100, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2574O,ESCUELA PRIMARIA RAFAEL RAMIREZ CASTAÑEDA
177,GM097,GUSTAVO A. MADERO,SANTA ISABEL TOLA,"AVENIDA ACUEDUCTO  S/N, COLONIA SANTA ISABEL TOLA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07010, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0215Y,JARDÍN DE NIÑOS  FRANCISCO GONZÁLEZ BOCANEGRA
178,MH107,MIGUEL HIDALGO,ANAHUAC,"CALLE LAGO CHAPALA NO.  33, COLONIA ANAHUAC, ALCALDÍA MIGUEL HIDALGO, C.P. 11320, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0148Q,JARDÍN DE NIÑOS  MARIA LUISA DE LA TORRE
179,CT138,CUAUHTÉMOC,PERALVILLO,"CALLE  DE GUADALUPE  NO.  166, COLONIA PERALVILLO, ALCALDÍA CUAUHTÉMOC, C.P. 06220, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2400Y,ESCUELA PRIMARIA LISANDRO CALDERON
180,GM263,GUSTAVO A. MADERO,GUADALUPE PROLETARIA,"CALLE 8 Y RIO TLALNEPANTLA  S/N, COLONIA GUADALUPE PROLETARIA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07670, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0216X,JARDÍN DE NIÑOS  TONANITLA
181,GM408,GUSTAVO A. MADERO,GUADALUPE PROLETARIA,"CALLE 8 Y AVENIDA SANTIAGO  S/N, COLONIA GUADALUPE PROLETARIA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07670, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0240G,ESCUELA SECUNDARIA REPÚBLICA DE SUDÁFRICA
182,TH078,TLÁHUAC,SANTIAGO SUR (LA CONCHITA ZAPOTITLAN),"CALLE ADOLFO UNDA Y DOMINGO ALVARADO (ANTES VICENTE GUERRERO Y JOSEFA ORTIZ DE DOMINGUEZ)  S/N, COLONIA SANTIAGO SUR (LA CONCHITA ZAPOTITLAN), ALCALDÍA TLÁHUAC, C.P. 13300, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0403R,JARDÍN DE NIÑOS  TEZCATLIPOCA
183,BJ028,BENITO JUÁREZ,SAN SIMON TICUMAC,"CALLE ELEUTERIO MENDEZ NO.  53, COLONIA SAN SIMON TICUMAC, ALCALDÍA BENITO JUÁREZ, C.P. 03300, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0080J,ESCUELA SECUNDARIA DR. MARTÍN LUTHER KING
184,BJ090,BENITO JUÁREZ,MIXCOAC,"CALLE LOS ECHAVE  NO.  37, COLONIA MIXCOAC, ALCALDÍA BENITO JUÁREZ, C.P. 03910, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0085V,JARDÍN DE NIÑOS  REFORMA
185,IP125,IZTAPALAPA,SAN MIGUEL TEOTONGO,"CALLE ELOY CABAZOS Y BUGANBILIA (VICENTE GUERRERO)  S/N, COLONIA SAN MIGUEL TEOTONGO, ALCALDÍA IZTAPALAPA, C.P. 09630, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0087V,ESCUELA SECUNDARIA TÉCNICA  NO.  87
186,GM313,GUSTAVO A. MADERO,NVA VALLEJO,"CALLE NORTE 17 A NO.  5280, COLONIA NVA VALLEJO , ALCALDÍA GUSTAVO A. MADERO, C.P. 07750, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0031T,ESCUELA SECUNDARIA TÉCNICA  NO.  31
187,CT015,CUAUHTÉMOC,SANTA MARIA LA RIBERA,"CALLE FRESNO  NO.  45, COLONIA SANTA MARIA LA RIBERA, ALCALDÍA CUAUHTÉMOC, C.P. 06400, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0002F,ESCUELA SECUNDARIA ANA MARÍA BERLANGA
188,MH008,MIGUEL HIDALGO,LOMAS ALTAS,"CALLE CONSTITUYENTES NO.  940, COLONIA LOMAS ALTAS, ALCALDÍA MIGUEL HIDALGO, C.P. 11950, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1093A,ESCUELA PRIMARIA ALBERTO M. ALVARADO
