numero,codigo,alcaldia,colonia,direccion,nivel,cct,escuela
106,IC022,IZTACALCO,GRANJAS MEXICO,"CALLE AÑIL, ANEXO A LA CONADE Y RIO CHURUBUSCO  S/N, COLONIA GRANJAS MÉXICO., ALCALDÍA IZTACALCO, C.P. 08400, CIUDAD DE MÉXICO.",INICIAL,09DDI0024L,ESCUELA DE EDUCACIÓN INICIAL CAI SEP NO 24 CARMEN SERDAN
107,AZ014,AZCAPOTZALCO,SANTA CATARINA,"CALLE  CECATI  NO.  11, COLONIA SANTA CATARINA, ALCALDÍA AZCAPOTZALCO, C.P. 02250, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0061L,JARDÍN DE NIÑOS  AQUILES ELOURDUY
108,MH065,MIGUEL HIDALGO,PENSIL NORTE,"CALLE LAGO WINNIPEG NO.  7, COLONIA PENSIL NORTE, ALCALDÍA MIGUEL HIDALGO, C.P. 11430, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2355B,ESCUELA PRIMARIA ESTADO DE QUINTANA ROO
109,CY182,COYOACÁN,SANTA URSULA COAPA,"CALLE ESFUERZO  NO.  36, COLONIA SANTA URSULA COAPA, ALCALDÍA COYOACÁN, C.P. 04650, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0663D,JARDÍN DE NIÑOS  SUIZA
110,CT036,CUAUHTÉMOC,NONOALCO TLATELOLCO,"CALLE MANUEL GONZALEZ NO.  86, UNIDAD HABITACIONAL  NONOALCO TLATELOLCO, ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",INICIAL,09DDI0007V,ESCUELA DE EDUCACIÓN INICIAL CAI SEP NO 07 AGUSTINA RAMIREZ RODRIGUEZ
111,CY085,COYOACÁN,(SANTA CATARINA) VIVEROS DE COYOACAN,"CALLE MELCHOR OCAMPO  NO.  20, BARRIO (SANTA CATARINA) VIVEROS DE COYOACAN, ALCALDÍA COYOACÁN, C.P. 04010, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1951T,ESCUELA PRIMARIA REPÚBLICA DE GUATEMALA
112,BJ113,BENITO JUÁREZ,INDEPENDENCIA,"CALLE MITLA Y SERAFIN OLARTE   S/N, COLONIA INDEPENDENCIA, ALCALDÍA BENITO JUÁREZ, C.P. 03630, CIUDAD DE MÉXICO.",ESPECIAL,09DML0107P,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 88
113,CT168,CUAUHTÉMOC,DOCTORES,"ARCOS DE BELÉN NO. 82, COLONIA DOCTORES, ALCALDÍA CUAUHTÉMOC, C.P. 06720, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2352E,ESCUELA PRIMARIA PENSIONES
114,BJ008,BENITO JUÁREZ,MIXCOAC,"CALLE LEONARDO DA VINCI  NO.  170, COLONIA MIXCOAC, ALCALDÍA BENITO JUÁREZ, C.P. 03910, CIUDAD DE MÉXICO.",INICIAL,09DDI0027I,ESCUELA DE EDUCACIÓN INICIAL CAI SEP NO 27 GABINO BARREDA
115,GM072,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ PRIMERA SECCION,"CALLE NORTE 84 A  S/N, COLONIA GERTRUDIS SANCHEZ PRIMERA SECCION, ALCALDÍA GUSTAVO A. MADERO, C.P. 07839, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0170S,JARDÍN DE NIÑOS  EDUCADORAS MEXICANAS
116,IC081,IZTACALCO,VIADUCTO PIEDAD,"CALLE EJE1 OTE, AV. ANDRES MOLINA ENRIQUEZ  S/N, COLONIA VIADUCTO PIEDAD, ALCALDÍA IZTACALCO, C.P. 08200, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0671M,JARDÍN DE NIÑOS  LUZ MARIA SERRADELL
117,TH066,TLÁHUAC,QUIAHUATLA DEL PUEBLO SAN PEDRO TLAHUAC,"CALLE CL. FELIPE JARDINES NO.  MZ-45 LT-25, COLONIA QUIAHUATLA DEL PUEBLO SAN PEDRO TLAHUAC, ALCALDÍA TLÁHUAC, C.P. 13090, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1115F,JARDÍN DE NIÑOS  REPÚBLICA DE BRASIL
118,AO043,ALVARO OBREGÓN,BELLA VISTA,"CALLE CANARIO Y DIVISION DEL NORTE  S/N, COLONIA BELLA VISTA, ALCALDÍA ALVARO OBREGÓN, C.P. 01790, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0021U,ESCUELA SECUNDARIA JOVITA A. ELGUERO
119,XC003,XOCHIMILCO,GUADALUPE,"CALLE PINO  S/N, COLONIA GUADALUPE, ALCALDÍA XOCHIMILCO, C.P. 16800, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0224P,ESCUELA SECUNDARIA HUETZALIN
120,XC067,XOCHIMILCO,SANTA MARIA NATIVITAS,"CALLE ESCUDO NACIONAL  S/N, COLONIA SANTA MARIA NATIVITAS, ALCALDÍA XOCHIMILCO, C.P. 16797, CIUDAD DE MÉXICO.",SECUNDARIA,09DTV0121Z,ESCUELA TELESECUNDARIA  NO. 121
121,XC107,XOCHIMILCO,HUICHAPAN,"CALLE MÉXICO. NO.  6131, COLONIA HUICHAPAN, ALCALDÍA XOCHIMILCO, C.P. 16030, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2045Y,ESCUELA PRIMARIA REY TIZOC
122,AZ143,AZCAPOTZALCO,DEL GAS,"CALLE SABINO Y CALLE 4  S/N, COLONIA DEL GAS, ALCALDÍA AZCAPOTZALCO, C.P. 02970, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0038M,ESCUELA SECUNDARIA TÉCNICA  NO.  38
123,AZ125,AZCAPOTZALCO,LA PRECIOSA,"CALLE CIPACTLI  NO.  80, COLONIA LA PRECIOSA, ALCALDÍA AZCAPOTZALCO, C.P. 02460, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1033W,JARDÍN DE NIÑOS  TOLTECAYOTL
124,AZ011,AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC,"CALLE  5 NORTE Y AVENIDA DE LAS CULTURAS  S/N, COLONIA SAN MARTIN XOCHINAHUAC, ALCALDÍA AZCAPOTZALCO, C.P. 02120, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1328H,JARDÍN DE NIÑOS  ANGEL MARIA GARIBAY KINTANA
125,BJ001,BENITO JUÁREZ,MIXCOAC,"CALLE BENVENUTO CELLINI  NO.  21, COLONIA MIXCOAC, ALCALDÍA BENITO JUÁREZ, C.P. 03910, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1844K,ESCUELA PRIMARIA AMADO NERVO
126,CT090,CUAUHTÉMOC,SANTA MARIA LA RIBERA,"CALLE SANTA MARIA LA RIBERA  NO.  64, COLONIA SANTA MARIA LA RIBERA, ALCALDÍA CUAUHTÉMOC, C.P. 06400, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0831J,JARDÍN DE NIÑOS  FEDERICO FROEBEL
127,TH003,TLÁHUAC,MIGUEL HIDALGO,"CALLE GREGORIO ALLEGRI  S/N, COLONIA MIGUEL HIDALGO, ALCALDÍA TLÁHUAC, C.P. 13200, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0659R,JARDÍN DE NIÑOS  ANA MARIA GALLAGA
128,VC036,VENUSTIANO CARRANZA,ROMERO RUBIO,"CALLE ARGELIA NO.  36, COLONIA ROMERO RUBIO, ALCALDÍA VENUSTIANO CARRANZA, C.P. 15400, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0527Z,JARDÍN DE NIÑOS  ESTADO DE AGUASCALIENTES
